project,version,mutant_id,index,akf,faulty_status,is_flim,pred_flim,Sus,cost_time
Time,17,src-main-java-org-joda-time-DateTimeZone-405-0,1,1,True,False,False,0.7071067811865475,6.6561
Time,17,src-main-java-org-joda-time-DateTimeZone-405-0,2,1,True,False,False,0.7071067811865475,8.1759
Time,17,src-main-java-org-joda-time-DateTimeZone-405-0,3,1,True,False,False,0.7071067811865475,8.8785
Time,17,src-main-java-org-joda-time-DateTimeZone-405-0,4,1,True,False,False,0.7071067811865475,8.0835
Time,17,src-main-java-org-joda-time-DateTimeZone-405-0,5,1,True,False,False,0.7071067811865475,7.9793
Time,17,src-main-java-org-joda-time-DateTimeZone-410-14,6,1,True,False,False,0.7071067811865475,6.4851
Time,17,src-main-java-org-joda-time-DateTimeZone-410-14,7,1,True,False,False,0.7071067811865475,12.3989
Time,17,src-main-java-org-joda-time-DateTimeZone-410-14,8,1,True,False,False,0.7071067811865475,7.2746
Time,17,src-main-java-org-joda-time-DateTimeZone-410-14,9,1,True,False,False,0.7071067811865475,8.5888
Time,17,src-main-java-org-joda-time-DateTimeZone-410-14,10,1,True,False,False,0.7071067811865475,6.5813
Time,17,src-main-java-org-joda-time-DateTimeZone-410-15,11,1,True,False,True,0.7071067811865475,14.3987
Time,17,src-main-java-org-joda-time-DateTimeZone-410-15,12,1,True,False,False,0.7071067811865475,11.8512
Time,17,src-main-java-org-joda-time-DateTimeZone-410-15,13,1,True,False,True,0.7071067811865475,8.3006
Time,17,src-main-java-org-joda-time-DateTimeZone-410-15,14,1,True,False,False,0.7071067811865475,7.1994
Time,17,src-main-java-org-joda-time-DateTimeZone-410-15,15,1,True,False,False,0.7071067811865475,6.9527
Time,17,src-main-java-org-joda-time-DateTimeZone-409-7,16,1,True,False,False,0.5773502691896258,10.2723
Time,17,src-main-java-org-joda-time-DateTimeZone-409-7,17,1,True,False,False,0.5773502691896258,8.0675
Time,17,src-main-java-org-joda-time-DateTimeZone-409-7,18,1,True,False,False,0.5773502691896258,10.3805
Time,17,src-main-java-org-joda-time-DateTimeZone-409-7,19,1,True,False,True,0.5773502691896258,8.9098
Time,17,src-main-java-org-joda-time-DateTimeZone-409-7,20,1,True,False,False,0.5773502691896258,10.6415
Time,17,src-main-java-org-joda-time-DateTimeZone-361-7,21,1,False,True,False,0.3162277660168379,8.4377
Time,17,src-main-java-org-joda-time-DateTimeZone-361-7,22,1,False,True,False,0.3162277660168379,7.5516
Time,17,src-main-java-org-joda-time-DateTimeZone-361-7,23,1,False,True,False,0.3162277660168379,6.7453
Time,17,src-main-java-org-joda-time-DateTimeZone-361-7,24,1,False,True,True,0.3162277660168379,32.4304
