project,version,mutant_id,index,akf,faulty_status,is_flim,pred_flim,Sus,cost_time
Time,1,src-main-java-org-joda-time-Partial-66-2,1,1,False,True,False,1.0,6.1262
Time,1,src-main-java-org-joda-time-Partial-66-2,2,1,False,True,False,1.0,8.9503
Time,1,src-main-java-org-joda-time-Partial-66-2,3,1,False,True,False,1.0,5.6474
Time,1,src-main-java-org-joda-time-Partial-66-2,4,1,False,True,False,1.0,7.3961
Time,1,src-main-java-org-joda-time-Partial-66-2,5,1,False,True,False,1.0,4.6165
Time,1,src-main-java-org-joda-time-Partial-66-5,6,1,False,True,True,1.0,4.9567
Time,1,src-main-java-org-joda-time-Partial-66-5,7,1,False,True,False,1.0,6.4808
Time,1,src-main-java-org-joda-time-Partial-66-5,8,1,False,True,True,1.0,7.3685
Time,1,src-main-java-org-joda-time-Partial-66-5,9,1,False,True,False,1.0,5.5561
Time,1,src-main-java-org-joda-time-Partial-66-5,10,1,False,True,False,1.0,5.7304
Time,1,src-main-java-org-joda-time-Partial-67-4,11,1,True,False,False,0.5773502691896258,7.5057
Time,1,src-main-java-org-joda-time-Partial-67-4,12,1,True,False,False,0.5773502691896258,5.2622
Time,1,src-main-java-org-joda-time-Partial-67-4,13,1,True,False,False,0.5773502691896258,6.9854
Time,1,src-main-java-org-joda-time-Partial-67-4,14,1,True,False,True,0.5773502691896258,7.6397
Time,1,src-main-java-org-joda-time-Partial-67-4,15,1,True,False,True,0.5773502691896258,8.6357
Time,1,src-main-java-org-joda-time-Partial-67-1,16,1,True,False,False,0.4472135954999579,8.0761
Time,1,src-main-java-org-joda-time-Partial-67-1,17,1,True,False,False,0.4472135954999579,5.4953
Time,1,src-main-java-org-joda-time-Partial-67-1,18,1,True,False,False,0.4472135954999579,8.0912
Time,1,src-main-java-org-joda-time-Partial-67-1,19,1,True,False,False,0.4472135954999579,8.7777
Time,1,src-main-java-org-joda-time-Partial-67-1,20,1,True,False,False,0.4472135954999579,8.0724
Time,1,src-main-java-org-joda-time-field-UnsupportedDurationField-16-1,21,1,False,True,True,0.1889822365046136,6.187
Time,1,src-main-java-org-joda-time-field-UnsupportedDurationField-16-1,22,1,False,True,False,0.1889822365046136,9.6707
Time,1,src-main-java-org-joda-time-field-UnsupportedDurationField-16-1,23,1,False,True,False,0.1889822365046136,10.019
Time,1,src-main-java-org-joda-time-field-UnsupportedDurationField-16-1,24,1,False,True,False,0.1889822365046136,13.4222
Time,1,src-main-java-org-joda-time-field-UnsupportedDurationField-16-1,25,1,False,True,False,0.1889822365046136,8.9017
Time,1,src-main-java-org-joda-time-field-UnsupportedDurationField-17-1,26,1,False,True,False,0.1889822365046136,15.4812
Time,1,src-main-java-org-joda-time-field-UnsupportedDurationField-17-1,27,1,False,True,False,0.1889822365046136,17.5542
Time,1,src-main-java-org-joda-time-field-UnsupportedDurationField-17-1,28,1,False,True,False,0.1889822365046136,8.4841
Time,1,src-main-java-org-joda-time-field-UnsupportedDurationField-17-1,29,1,False,True,False,0.1889822365046136,8.8239
Time,1,src-main-java-org-joda-time-field-UnsupportedDurationField-17-1,30,1,False,True,False,0.1889822365046136,13.7701
Time,1,src-main-java-org-joda-time-Partial-43-1,31,1,False,True,False,0.1125087900926024,7.958
Time,1,src-main-java-org-joda-time-Partial-43-1,32,1,False,True,True,0.1125087900926024,10.1525
Time,1,src-main-java-org-joda-time-Partial-43-1,33,1,False,True,False,0.1125087900926024,8.4236
Time,1,src-main-java-org-joda-time-Partial-43-1,34,1,False,True,False,0.1125087900926024,8.3041
Time,1,src-main-java-org-joda-time-Partial-43-1,35,1,False,True,False,0.1125087900926024,6.5351
Time,1,src-main-java-org-joda-time-Partial-64-3,36,1,False,True,True,0.08512565307587486,6.1596
Time,1,src-main-java-org-joda-time-Partial-64-3,37,1,False,True,False,0.08512565307587486,22.5707
Time,1,src-main-java-org-joda-time-Partial-64-3,38,1,False,True,False,0.08512565307587486,8.446
Time,1,src-main-java-org-joda-time-Partial-64-3,39,1,False,True,False,0.08512565307587486,8.8384
Time,1,src-main-java-org-joda-time-Partial-64-3,40,1,False,True,True,0.08512565307587486,6.5896
Time,1,src-main-java-org-joda-time-Partial-59-1,41,1,False,True,False,0.0842151921066519,8.3751
Time,1,src-main-java-org-joda-time-Partial-59-1,42,1,False,True,False,0.0842151921066519,8.6655
Time,1,src-main-java-org-joda-time-Partial-59-1,43,1,False,True,True,0.0842151921066519,4.7379
Time,1,src-main-java-org-joda-time-Partial-59-1,44,1,False,True,True,0.0842151921066519,12.7266
Time,1,src-main-java-org-joda-time-Partial-59-1,45,1,False,True,True,0.0842151921066519,7.2067
Time,1,src-main-java-org-joda-time-Partial-84-1,46,1,False,True,False,0.0842151921066519,17.5433
Time,1,src-main-java-org-joda-time-Partial-84-1,47,1,False,True,False,0.0842151921066519,11.4996
Time,1,src-main-java-org-joda-time-Partial-84-1,48,1,False,True,True,0.0842151921066519,5.6803
Time,1,src-main-java-org-joda-time-Partial-84-1,49,1,False,True,False,0.0842151921066519,10.7216
Time,1,src-main-java-org-joda-time-Partial-84-1,50,1,False,True,False,0.0842151921066519,5.6487
Time,1,src-main-java-org-joda-time-Partial-59-4,51,1,False,True,True,0.08111071056538127,6.1513
Time,1,src-main-java-org-joda-time-Partial-59-4,52,1,False,True,False,0.08111071056538127,4.8945
Time,1,src-main-java-org-joda-time-Partial-59-4,53,1,False,True,False,0.08111071056538127,6.0205
Time,1,src-main-java-org-joda-time-Partial-59-4,54,1,False,True,False,0.08111071056538127,7.9301
Time,1,src-main-java-org-joda-time-Partial-59-4,55,1,False,True,True,0.08111071056538127,6.1992
Time,1,src-main-java-org-joda-time-Partial-55-4,56,1,False,True,True,0.08084520834544433,9.7062
Time,1,src-main-java-org-joda-time-Partial-55-4,57,1,False,True,False,0.08084520834544433,9.0425
Time,1,src-main-java-org-joda-time-Partial-55-4,58,1,False,True,True,0.08084520834544433,3.9835
