project,version,mutant_id,y_true,n_preds,flim_ratio,Sus
Time,1,src-main-java-org-joda-time-Partial-43-1,True,5,0.2,0.1125087900926024
Time,1,src-main-java-org-joda-time-Partial-49-3,True,5,0.2,0.080582296402538
Time,1,src-main-java-org-joda-time-Partial-55-2,True,5,0.6,0.080582296402538
Time,1,src-main-java-org-joda-time-Partial-55-4,True,5,0.4,0.0808452083454443
Time,1,src-main-java-org-joda-time-Partial-59-1,True,5,0.6,0.0842151921066519
Time,1,src-main-java-org-joda-time-Partial-59-2,True,5,0.2,0.0808452083454443
Time,1,src-main-java-org-joda-time-Partial-59-4,True,5,0.4,0.0811107105653812
Time,1,src-main-java-org-joda-time-Partial-62-2,True,5,0.2,0.0808452083454443
Time,1,src-main-java-org-joda-time-Partial-62-4,True,5,0.6,0.0808452083454443
Time,1,src-main-java-org-joda-time-Partial-64-3,True,5,0.4,0.0851256530758748
Time,1,src-main-java-org-joda-time-Partial-66-2,True,5,0.0,1.0
Time,1,src-main-java-org-joda-time-Partial-66-5,True,5,0.4,1.0
Time,1,src-main-java-org-joda-time-Partial-67-1,False,5,0.0,0.4472135954999579
Time,1,src-main-java-org-joda-time-Partial-67-4,False,5,0.4,0.5773502691896258
Time,1,src-main-java-org-joda-time-Partial-84-1,True,5,0.2,0.0842151921066519
Time,1,src-main-java-org-joda-time-field-UnsupportedDurationField-16-1,True,5,0.2,0.1889822365046136
Time,1,src-main-java-org-joda-time-field-UnsupportedDurationField-17-1,True,5,0.0,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-135-1,True,5,0.6,0.1825741858350554
Time,2,src-main-java-org-joda-time-Partial-135-2,True,5,0.4,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-135-5,True,5,0.0,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-136-1,True,5,0.2,0.196116135138184
Time,2,src-main-java-org-joda-time-Partial-136-2,True,5,0.4,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-136-3,True,5,0.4,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-136-4,True,5,0.6,0.196116135138184
Time,2,src-main-java-org-joda-time-Partial-136-5,True,5,0.4,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-136-6,True,5,0.6,0.196116135138184
Time,2,src-main-java-org-joda-time-Partial-138-1,True,5,0.2,0.242535625036333
Time,2,src-main-java-org-joda-time-Partial-138-2,True,5,0.6,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-140-2,True,5,0.4,0.7071067811865475
Time,2,src-main-java-org-joda-time-Partial-153-2,True,5,1.0,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-153-4,True,5,0.8,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-154-2,True,5,0.6,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-154-4,True,5,0.8,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-155-1,True,5,0.4,0.1924500897298753
Time,2,src-main-java-org-joda-time-Partial-157-1,True,5,0.0,0.2886751345948129
Time,2,src-main-java-org-joda-time-Partial-157-10,True,5,0.8,0.1924500897298753
Time,2,src-main-java-org-joda-time-Partial-157-11,True,5,1.0,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-157-12,True,5,0.4,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-157-13,True,5,0.8,0.2886751345948129
Time,2,src-main-java-org-joda-time-Partial-157-14,True,5,0.2,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-157-15,True,5,0.4,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-157-16,True,5,0.6,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-157-17,True,5,0.4,0.2886751345948129
Time,2,src-main-java-org-joda-time-Partial-157-2,True,5,0.6,0.2357022603955159
Time,2,src-main-java-org-joda-time-Partial-157-3,True,5,0.4,0.2886751345948129
Time,2,src-main-java-org-joda-time-Partial-157-4,True,5,0.4,0.2886751345948129
Time,2,src-main-java-org-joda-time-Partial-157-5,True,5,0.8,0.2357022603955159
Time,2,src-main-java-org-joda-time-Partial-157-6,True,5,0.4,0.2886751345948129
Time,2,src-main-java-org-joda-time-Partial-157-7,True,5,0.8,0.1924500897298753
Time,2,src-main-java-org-joda-time-Partial-157-8,True,5,0.6,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-158-10,True,5,0.4,0.1924500897298753
Time,2,src-main-java-org-joda-time-Partial-158-11,True,5,0.6,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-158-12,True,5,0.4,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-158-14,True,5,1.0,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-158-15,True,5,0.4,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-158-16,True,5,0.6,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-158-2,True,5,0.8,0.2357022603955159
Time,2,src-main-java-org-joda-time-Partial-158-5,True,5,1.0,0.2357022603955159
Time,2,src-main-java-org-joda-time-Partial-158-7,True,5,1.0,0.1924500897298753
Time,2,src-main-java-org-joda-time-Partial-158-8,True,5,0.8,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-32-1,True,5,0.4,0.2357022603955159
Time,2,src-main-java-org-joda-time-Partial-49-3,True,5,0.4,0.0808452083454443
Time,2,src-main-java-org-joda-time-Partial-51-4,True,5,0.6,0.4472135954999579
Time,2,src-main-java-org-joda-time-Partial-55-2,True,5,0.6,0.0808452083454443
Time,2,src-main-java-org-joda-time-Partial-55-4,True,5,0.6,0.0811107105653812
